season,week,posteam,total_plays,pass_plays,rush_plays,pass_pct,rush_pct,red_zone_pass_pct,deep_pass_pct,avg_air_yards,avg_yards_after_catch
2024,8,NYG,68,43,25,0.6323529411764706,0.36764705882352944,0.6666666666666666,NA,8.789473684210526,4.416666666666667
2024,8,NYJ,58,30,28,0.5172413793103449,0.4827586206896552,0.5714285714285714,NA,9.785714285714286,3.9411764705882355
2024,8,PHI,59,20,39,0.3389830508474576,0.6610169491525424,0.08333333333333333,0.1,8.65,4.8125
2024,8,PIT,63,32,31,0.5079365079365079,0.49206349206349204,0.5,NA,9.178571428571429,5.05
2024,8,SEA,47,30,17,0.6382978723404256,0.3617021276595745,0.2727272727272727,NA,2.9310344827586206,6.476190476190476
2024,8,SF,64,28,36,0.4375,0.5625,0.16666666666666666,NA,7.423076923076923,8.11111111111111
2024,8,TB,72,50,22,0.6944444444444444,0.3055555555555556,0.7142857142857143,0.12,7.26,5.162162162162162
2024,8,TEN,71,39,32,0.5492957746478874,0.4507042253521127,0.7777777777777778,NA,9.605263157894736,3.590909090909091
2024,8,WAS,72,40,32,0.5555555555555556,0.4444444444444444,0.36363636363636365,NA,12.026315789473685,4.857142857142857
2024,9,ARI,57,23,34,0.40350877192982454,0.5964912280701754,0.4,NA,6.3,7.384615384615385
2024,9,ATL,57,27,30,0.47368421052631576,0.5263157894736842,0.4,NA,5.666666666666667,7.578947368421052
2024,9,BAL,54,20,34,0.37037037037037035,0.6296296296296297,0.1875,NA,7.894736842105263,8.6875
2024,9,BUF,60,41,19,0.6833333333333333,0.31666666666666665,0.6666666666666666,NA,3.58974358974359,7.28
2024,9,CAR,51,28,23,0.5490196078431373,0.45098039215686275,0.25,NA,7.961538461538462,6.625
2024,9,CHI,70,47,23,0.6714285714285714,0.32857142857142857,1,NA,9,3.9545454545454546
2024,9,CIN,71,40,31,0.5633802816901409,0.43661971830985913,0.5294117647058824,NA,5.282051282051282,5.7407407407407405
2024,9,CLE,76,52,24,0.6842105263157895,0.3157894736842105,0.5454545454545454,NA,8.91304347826087,1.7692307692307692
2024,9,DAL,75,54,21,0.72,0.28,0.7,NA,6.02,4.193548387096774
2024,9,DEN,68,38,30,0.5588235294117647,0.4411764705882353,0.5,NA,7.5,5
2024,9,DET,55,23,32,0.41818181818181815,0.5818181818181818,0.25,NA,3.6818181818181817,4.833333333333333
2024,9,GB,63,40,23,0.6349206349206349,0.36507936507936506,0.5,NA,9.333333333333334,3.9565217391304346
2024,9,HOU,75,39,36,0.52,0.48,0.5555555555555556,NA,15.612903225806452,5.545454545454546
2024,9,IND,49,30,19,0.6122448979591837,0.3877551020408163,NA,NA,7.7407407407407405,4.0625
